sto_y_in_LiyCoO2,dUdT_V_per_K
0.02,-5.17616158e-06
0.025,-5.44697759e-06
0.03,-5.72961004e-06
0.035,-6.02430729e-06
0.04,-6.33129039e-06
0.045,-6.65074857e-06
0.05,-6.98283436e-06
0.055,-7.32765844e-06
0.06,-7.68528428e-06
0.065,-8.05572240e-06
0.07,-8.43892464e-06
0.075,-8.83477807e-06
0.08,-9.24309897e-06
0.085,-9.66362676e-06
0.09,-1.00960180e-05
0.095,-1.05398404e-05
0.1,-1.09945679e-05
0.105,-1.14595747e-05
0.11,-1.19341315e-05
0.115,-1.24174015e-05
0.12,-1.29084374e-05
0.125,-1.34061795e-05
0.13,-1.39094555e-05
0.135,-1.44169806e-05
0.14,-1.49273604e-05
0.145,-1.54390950e-05
0.15,-1.59505843e-05
0.155,-1.64601365e-05
0.16,-1.69659779e-05
0.165,-1.74662646e-05
0.17,-1.79590973e-05
0.175,-1.84425372e-05
0.18,-1.89146244e-05
0.185,-1.93733980e-05
0.19,-1.98169182e-05
0.195,-2.02432894e-05
0.2,-2.06506846e-05
0.205,-2.10373704e-05
0.21,-2.14017330e-05
0.215,-2.17423030e-05
0.22,-2.20577806e-05
0.225,-2.23470594e-05
0.23,-2.26092483e-05
0.235,-2.28436924e-05
0.24,-2.30499902e-05
0.245,-2.32280090e-05
0.25,-2.33778965e-05
0.255,-2.35000894e-05
0.26,-2.35953176e-05
0.265,-2.36646055e-05
0.27,-2.37092684e-05
0.275,-2.37309058e-05
0.28,-2.37313905e-05
0.285,-2.37128538e-05
0.29,-2.36776676e-05
0.295,-2.36284225e-05
0.3,-2.35679036e-05
0.305,-2.34990619e-05
0.31,-2.34249844e-05
0.315,-2.33488598e-05
0.32,-2.32739421e-05
0.325,-2.32035113e-05
0.33,-2.31408298e-05
0.335,-2.30890958e-05
0.34,-2.30513919e-05
0.345,-2.30306275e-05
0.35,-2.30294758e-05
0.355,-2.30503016e-05
0.36,-2.30950797e-05
0.365,-2.31653015e-05
0.37,-2.32618664e-05
0.375,-2.33849565e-05
0.38,-2.35338907e-05
0.385,-2.37069541e-05
0.39,-2.39012001e-05
0.395,-2.41122203e-05
0.4,-2.43338791e-05
0.405,-2.45580112e-05
0.41,-2.47740796e-05
0.415,-2.49687985e-05
0.42,-2.51257308e-05
0.425,-2.52248762e-05
0.43,-2.52422875e-05
0.435,-2.51497725e-05
0.44,-2.49147753e-05
0.445,-2.45005889e-05
0.45,-2.38671349e-05
0.455,-2.29727111e-05
0.46,-2.17775950e-05
0.465,-2.02525322e-05
0.47,-1.84067794e-05
0.475,-1.64169455e-05
0.48,-1.53128407e-05
0.485,-2.04216321e-05
0.49,-4.90201771e-05
0.495,-7.53112536e-05
0.5,-3.46635407e-05
0.505,-1.26573270e-05
0.51,-1.23027840e-05
0.515,-2.08839522e-05
0.52,-3.51805865e-05
0.525,-5.19353436e-05
0.53,-6.47903686e-05
0.535,-6.72321063e-05
0.54,-5.84855983e-05
0.545,-4.42067573e-05
0.55,-3.08725505e-05
0.555,-2.16474468e-05
0.56,-1.66571895e-05
0.565,-1.47662996e-05
0.57,-1.47439487e-05
0.575,-1.56641249e-05
0.58,-1.69321251e-05
0.585,-1.82030729e-05
0.59,-1.92963845e-05
0.595,-2.01320246e-05
0.6,-2.06883662e-05
0.605,-2.09758460e-05
0.61,-2.10210288e-05
0.615,-2.08572235e-05
0.62,-2.05191314e-05
0.625,-2.00399393e-05
0.63,-1.94498723e-05
0.635,-1.87756038e-05
0.64,-1.80401533e-05
0.645,-1.72630485e-05
0.65,-1.64606193e-05
0.655,-1.56463455e-05
0.66,-1.48312127e-05
0.665,-1.40240531e-05
0.67,-1.32318586e-05
0.675,-1.24600614e-05
0.68,-1.17127819e-05
0.685,-1.09930442e-05
0.69,-1.03029624e-05
0.695,-9.64390082e-06
0.7,-9.01661025e-06
0.705,-8.42134427e-06
0.71,-7.85795741e-06
0.715,-7.32598796e-06
0.72,-6.82472757e-06
0.725,-6.35327935e-06
0.73,-5.91060632e-06
0.735,-5.49557146e-06
0.74,-5.10697075e-06
0.745,-4.74356013e-06
0.75,-4.40407741e-06
0.755,-4.08725990e-06
0.76,-3.79185842e-06
0.765,-3.51664824e-06
0.77,-3.26043756e-06
0.775,-3.02207385e-06
0.78,-2.80044852e-06
0.785,-2.59450016e-06
0.79,-2.40321664e-06
0.795,-2.22563649e-06
0.8,-2.06084962e-06
0.805,-1.90799781e-06
0.81,-1.76627538e-06
0.815,-1.63493042e-06
0.82,-1.51326760e-06
0.825,-1.40065376e-06
0.83,-1.29652844e-06
0.835,-1.20042317e-06
0.84,-1.11199560e-06
0.845,-1.03108910e-06
0.85,-9.57835913e-07
0.855,-8.92834518e-07
0.86,-8.37453635e-07
0.865,-7.94352231e-07
0.87,-7.68367941e-07
0.875,-7.68033823e-07
0.88,-8.08166603e-07
0.885,-9.14281759e-07
0.89,-1.13012198e-06
0.895,-1.53048807e-06
0.9,-2.24308966e-06
0.905,-3.48570896e-06
0.91,-5.62927054e-06
0.915,-9.30447740e-06
0.92,-1.55809501e-05
0.925,-2.62648129e-05
0.93,-4.43833518e-05
0.935,-7.49464351e-05
0.94,-1.26062813e-04
0.945,-2.10349132e-04
0.95,-3.46058380e-04
0.955,-5.56016572e-04
0.96,-8.59975201e-04
0.965,-1.25424485e-03
0.97,-1.67998293e-03
0.975,-2.00927724e-03
0.98,-2.10018883e-03
0.985,-1.90722364e-03
0.99,-1.52372203e-03
0.995,-1.09819099e-03
1.0,-7.34486838e-04
